sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
back $ over the mangled form and shattered instrument of their own musician $ he hurl the formidable lancer $ back $ over the face of their slaughter infantry $ back $ with that iron shower tear their pennon $ splinter their spear $ cut lane into their weave rank $ he hurl the chivalry of mexico $ until the shadow of the chaparral alone $ save the wreck of their glitter array $	45	0	lane	Back , over the mangled forms and shattered instruments of their own musicians , he hurled the formidable lancers , back , over the faces of their slaughtered infantry , back , with that iron shower tearing their pennons , splintering their spears , cutting lanes into their woven ranks , he hurled the chivalry of Mexico , until the shadows of the chaparral alone , saved the wreck of their glittering array .	fic_1847_7190.txt-1403-45
the lane by which i be wont to reach the demesne of ditton $ partake in an eminent degree of this character $ be very narrow $ wind about continually without any apparent cause $ almost completely embowered by the tall hawthorn hedge $ and the yet tall oak and ash which grow along their line $ make $ when in full verdure $ twilight of noon itself $ and command no view whatever of the country through which it run $ except when a field-gate or cart-track open into it $ afford a glimpse of a lonely meadow $ bound $ perhaps $ by a deep wood-side $	1	1	lane	The lane by which I was wont to reach the demesne of Ditton , partook in an eminent degree of this character , being very narrow , winding about continually without any apparent cause , almost completely embowered by the tall hawthorn hedges , and the yet taller oaks and ashes which grew along their lines , making , when in full verdure , twilight of noon itself , and commanding no view whatever of the country through which it ran , except when a field-gate or cart-track opened into it , affording a glimpse of a lonely meadow , bounded , perhaps , by a deep wood-side .	fic_1854_9160.txt-2935-1
who teach him to thread his way through the barberry-bush lane $ and across the beaver-meadows $ to find out the true center of population for their sun-burnt and flaxen-headed little tenantry $	10	1	lane	Who taught him to thread his way through the barberry-bush lanes , and across the beaver-meadows , to find out the true centre of population for their sun-burnt and flaxen-headed little tenantry ?	mag_1836_554391.txt-337-10
the path they have now take be call by the dutch sleyk <nul> mire lane $ and lead in the rear of the stadt huis $ and pass by that building $ open on coenties slip $ whereon the stadthuis front $ ere enter on the slip $ however $ they pause a moment to take breath from their hasty flight $ and give a quick glance on the scene before them $ while the puissant burgomasters seek to renovate their weary frame and recover their lose wind $ ere they usher	14	1	lane	The path they had now taken was called by the Dutch sleyk steeg.or mire lane , and led in the rear of the stadt huis , and passing by that building , opened on Coenties slip , whereon the stadthuis fronted ; ere entering on the slip , however , they paused a moment to take breath from their hasty flight , and gave a quick glance on the scene before them , while the puissant burgomasters sought to renovate their wearied frames and recover their lost wind , ere they ushered	fic_1827_7169.txt-1167-14
at this moment the sleigh be see come up the lane $ and mrs.- wharton hasten to get ready to accompany the doctor to the hemlock $ $	10	1	lane	At this moment the sleigh was seen coming up the lane , and Mrs. Wharton hastened to get ready to accompany the doctor to the Hemlocks . "	fic_1853_2454.txt-325-10
scream the amiable female bear that name $ stand in the door and direct a withering glance towards mr.- drudge $ who be slowly shamble up the lane completely exhaust and toil-worn $ $	27	1	lane	screamed the amiable female bearing that name , standing in the door and directing a withering glance towards Mr. Drudge , who was slowly shambling up the lane completely exhausted and toil-worn . "	fic_1843_7208.txt-2712-27
the ponderous vehicle stop short $ the guard close up $ form a lane from	13	1	lane	The ponderous vehicle stopped short ; the guard closed up , forming a lane from	fic_1835_7143.txt-1845-13
a mile below $ be bridgwater and the ruin of some large mill $ which be destroy by the american after the battle of lundy 's lane $	26	1	lane	A mile below , is Bridgwater and the ruins of some large mills , which were destroyed by the Americans after the battle of Lundy 's Lane .	mag_1816_552728.txt-70-26
it be soon observe $ that as the young clergyman ride from the hemlock back to the village $ it seem a difficult matter for him to pass mr.- wharton 's lane $ but he often $ and then often $ and at length every day $ turn his horse 's head up the lane $ and stop to make a call $	54	1	lane	It was soon observed , that as the young clergyman rode from the Hemlocks back to the village , it seemed a difficult matter for him to pass Mr. Wharton 's lane , but he often , and then oftener , and at length every day , turned his horse 's head up the lane , and stopped to make a call .	fic_1853_2454.txt-1153-54
when robert lester $ now kyd the pirate $ leave the presence of kate bellamont $ without seek the stone step that descend to the lawn $ he leap from the low balcony to the ground $ and stride $ at a pace make quick and firm by the strength of his feeling $ towards a gate that open into the lane in which the inn of jost stoll be situate $	61	1	lane	When Robert Lester , now Kyd the pirate , left the presence of Kate Bellamont , without seeking the stone steps that descended to the lawn , he leaped from the low balcony to the ground , and strode , at a pace made quick and firm by the strength of his feelings , towards a gate that opened into the lane in which the inn of Jost Stoll was situated .	fic_1839_7088.txt-1960-61
