sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
ärs statswerksproposition war summa nedsatt med $ $ $ och talar antyda wid samma ära riksdag möjlighet af inflränkning i utgift för ministerpost i rom $ sä snar ledighet uppstå $	11	0	antyda	ärs statSwerksproposition war summan nedsatt med 26,300 kr. , och talaren antydde wid samma ärs riksdag möjligheten af inflränkning i utgifterna för ministerposten i Rom , sä snart ledighet uppstode . 	bib15650835_18950219_146472_14_0002_alto.xml-90-11
af all att döma syna åtgärd mot soeialdemokraterne skola fortgå i samma riktning som hittills $ och ingenting antyda $ att rikskanslerén och den ny inrikesminister skola behandla social med stor mildhet än hvad hr von köller göra $	18	0	antyda	Af allt att döma synas åtgärderna mot soeialdemokraterne skola fortgå i samma riktning som hittills , och ingenting antyder , att rikskanslerén och den nya inrikesministern skola behandla socialdemokraterne med större mildhet än hvad hr von Köller gjorde . 	bib19227462_18951216_147640_293_0002_alto.xml-113-18
man ena om att uppdra åt häradshöfding grefve von schwerin att uppsätta en resolution i antyda riktning $	15	0	antyda	Man enades om att uppdraga åt häradshöfdingen grefve von Schwerin att uppsätta en resolution i antydd riktning . 	bib11653811_19010109_145317_5_0001_alto.xml-50-15
öfrig blott en öfvergångspost $ såsom mycket nådig antyda $ $	8	0	antyda	öfrigt blott en öfvergångspost , såsom mycket nådigt antyddes . " 	bib15760600_18950806_146401_92_0004_alto.xml-66-8
med den egen föregå uttalande $ endast denna hafva kunna förmå en mångå representant $ som hysa full förtroende till ministéren $ att gifva den passus i dagordning sig anslutning $ som antyda en ändra sammansättning af regering $	32	0	antyda	med dess egna föregående uttalanden ; endast dessa hafva kunnat förmå de mångå representanter , som hysa fullt förtroende till ministéren , att gifva den passus i dagordningen sin anslutning , som antyder en ändrad sammansättning af regeringen . 	bib15650837_18950610_146391_132_0002_alto.xml-68-32
$ $ inför hwilken han uttala sig harm öfwer att man wägade antyda $ att han flulle ha nägot med mordattentåtet att göra $	12	0	antyda	" , inför hwilken han uttalat sin harm öfwer att man wägade antyda , att han flulle ha nägot med mordattentåtet att göra . 	bib15650835_18950726_146472_63_0004_alto.xml-25-12
nyfikenhet motse man hvad trontal kunna komma att i denna riktning antyda med ord eller tystnad $	11	0	antyda	nyfikenhet motser man hvad trontalet kan komma att i denna riktning antyda med ord eller tystnad . 	bib15873936_18960111_147385_4_0002_alto.xml-23-11
icke begära någon yttrande om den olik konstnärlig värde i en omförmäla målning $ $ i denna ord antyda temligen oförbehållsam $ att målning hafva olik konstvärde $	18	0	antyda	icke begär något yttrande om det olika konstnärliga värdet i de omförmälda målningarna etc. » I dessa ord antydes temligen oförbehållsamt , att målningarna hafva olika konstvärde . 	bib19277277_18950428_147683_114_0006_alto.xml-71-18
mr greely be säga $ att vind vid den antyda station företrädesvis vara sydvestlig $ och han tycka ha tv flat på $ att de vara lämplig för hern färd $	9	0	antyda	Mr Greely bade sagt , att vindarne vid den antydda stationen företrädesvis varit sydvestliga , och han tycktes ha tv flat på , att de vore lämpliga för hern färden . 	bib15873371_18950812_145112_217_0002_alto.xml-24-9
inkomma utlåtande på den sätt tillstyrka en lagförändring i den af riksdag antyda syfte $ att förändring komrae att gälla endast för en församling $ där val ske medelst upprop $ samt att vid medgifvande fästa den villkor $ att den rösta hustru vara välfrejdad $ tillhöra svensk kyrka och ännu ej utträdt ur den samma $	12	0	antyda	inkomna utlåtande på det sätt tillstyrkt en lagförändring i det af riksdagen antydda syftet , att förändringen komrae att gälla endast för de församlingar , där val ske medelst upprop , samt att vid medgifvandet fästes det villkor , att den röstande hustrun är välfrejdad , tillhör svenska kyrkan och ännu ej utträdt ur den samma . 	bib11653830_18971101_146968_87_0002_alto.xml-87-12
delta och mer dertill ha göra $ att man rikta särskild uppmärksamhet på den antyda h $ i hufvudstad $	14	0	antyda	Delta och mer dertill har gjort , att man riktat särskild uppmärksamhet på den antydde H . i hufvudstaden . 	bib15873371_18950914_145112_251_0002_alto.xml-174-14
den ny stiftschef vid prästkonferens i hakarp i fredag å $ $ $ och antyda han tillika att skiljaktighet i åsikt präst emellan ha sig dryg del i den andlig söndring inom	14	0	antyda	den nye stiftschefen vid prästkonferensen i Hakarp i fredags å . d. , och antydde han tillika att skiljaktighet i åsikter prästerna emellan hade sin dryga del i den andliga söndringen inom 	bib19277349_18950709_147403_88_0002_alto.xml-132-14
han berätta $ att han fredagssftonen den 1 september9 $ 1809 komma på resa från örebro till grufstugad $ som ligga ea fjerdedel $ fjerdingsväg från blackfärd $ cch vistat $ der öfver natt $ att han följa morgoo $ den 2 september $ $ 4 $ 7 i sällskap mod sig reskamrat dräng lindgren se spår i dagg på väg efter en man $ $ ooh en qvinepereon $ som utkomma från bieckfärd $ samt att msnnons spår antyda $ att haa skynda efter qvinna $	79	0	antyda	Han berättade , att han Fredagssftonen den 1 September9 ) 1809 kommit på resa från Örebro till GrufstugaD , som ligger ea fjerdedel » fjerdingsväg från Blackfärd , cch vistat » der öfver natten , att han följande morgoo , den 2 September , kl. 4 — 7 i sällskap mod sin reskamrat drängen Lindgren sett spår i daggen på vägen efter en man » - ooh en qvinepereon , som utkommit från Bieckfärd , samt att msnnons spår antydd » att haa skyndat efter qvinnan . 	bib15650837_18950330_146391_75_0007_alto.xml-108-79
efter mord inneha iwa kappsäck och en resfilt eller dylik antyda att der vara nägot han vara rädd för $ kanfle nägot som ta frän den mörda $	10	0	antyda	efter mordet innehade Iwa kappsäckar och en resfilt eller dylikt antyder att der är nägot han är rädd för — kanfle nägot som tagits frän den mördade . 	bib15650835_18950820_146472_70_0003_alto.xml-56-10
antyda $ ei bra anastiend $ fördel för da argentinsk $ jordbrukare $ härladanda sif dirakt från landa usel penningeväsande $ nämligen från dag der införa tvångskurs ä pappersmynt $	0	0	antyda	antydde , ei Bästas anastiend # fördel för da argentinsk » Jordbrukarna , härladanda sif dirakt från landats usla penningeväsande — nämligen från dan der införda tvångskursen ä pappersmynt . 	bib19277277_18950110_147683_9_0007_alto.xml-35-0
$ $ $ ha åter denna $ göteborg aftonblads $ lojal $ finkänslig önskan och antyda $ att den så god som viss andra tidning utgjutelse kunna vara värd en åtal för majestätsbrott $	15	0	antyda	“ Söndags-Nisse “ har återgifvit denna " Göteborgs Aftonblads " lojala , finkänsliga önskan och antyder , att den så godt som vissa andra tidningars utgjutelser kunde vara värd ett åtal för majestätsbrott . 	bib11653830_18950413_146968_43_0003_alto.xml-53-15
leda artikel antyda svar från stad konsistorium till helsovårdsnämden vara af följa lydelse $ $ då den icke kunna vara den $ kungörelse mening $ att presterskap skola tvinga ait i en fall $ då den icke eger eller kail vinna tillräcklig kännedom örn personsrnas trovärdig het och en meddela upplysning sanningsenlighet $ ändock derom lemna intyg så som om af de känd förhållande $ hvilket på samma gång voro för sak hög vådlig och för prost samvete kränka $ och den icke blifvit anmäldt $ ait kyrkoherde landqrist i en fall $ då han kunna förskaffa sig tillräcklig kännedom om förhållande och ansttt person trovärdig $ neka intyg en ligt formulär $ sakna konsistorium all mi ledning att meddela han dot äska för stäudigandet $ $ ganska intressant skola den blifva att se $ burn vederbörande nu skola reda sig ur den klämma $ i hvilken dc genom k medicinalstyrelse all annan än klyftig påfund blifvit lörsatte $	2	0	antyda	ledande artikel antydda svaret från stadens konsistorium till helsovårdsnämden är af följande lydelse : » Då det icke kan vara den k. kungörelsens mening , att presterskapet skall tvingas ait i de fall , då det icke eger eller kail vinna tillräcklig kännedom örn personsrnas trovärdig het och de meddelade upplysningarnas sanningsenlighet , ändock derom lemna intyg så som om af dem kända förhållanden , hvilket på samma gång voro för saken högst vådligt och för prostens samvete kränkande , och det icke blifvit anmäldt , ait kyrkoherden Landqrist i de fall , då han kunnat förskaffa sig tillräcklig kännedom om förhållandena och ansttt personerna trovärdiga , nekat intyg en ligt formuläret , saknar konsistorium all mi ledning att meddela honom dot äskade för stäudigandet . » Ganska intressant skall det blifva att se , burn vederbörande nu skola reda sig ur den klämma , i hvilken dc genom k medicinalstyrelsens allt annat än klyftiga påfund blifvit lörsatte . 	bib19227462_18950622_147640_143_0003_alto.xml-86-2
$ army and nävy gazette $ $ ur hvilken denna notis ta $ anse dock $ att mr hobson ha sätta den engelsk flotta storlek för låg $ och i hvad fal $ som gärna $ säga tidning $ skola nog england sörja för att ryssland och frankrike försök att uppnå maritim öfverlägsenhet öfver england i tid skola hindra genom nybyggnad i denna land $ hvartill den förefinnas desto stor skäl $ som mr hobson sjelf antyda $ att en sån öfverlägsenhet skola tvinga italien att slita sig lös från trippelallians $	76	0	antyda	» Army and Nävy Gazette » , ur hvilken denna notis tagits , anser dock , att mr Hobson har satt den engelska flottans storlek för låg , och i hvad fal ) som helst , säger tidningen , skall nog England sörja för att Rysslands och Frankrikes försök att uppnå maritim öfverlägsenhet öfver England i tid skall hindras genom nybyggnader i detta land , hvartill det förefinnes desto större skäl , som mr Hobson sjelf antyder , att en sådan öfverlägsenhet skulle tvinga Italien att slita sig lös från trippelalliansen . 	bib15873371_18950627_145112_171_0003_alto.xml-120-76
röst framhålla hon ock $ hur smärtsam den vara för en modershjärta att se enda dotter lefnadslycka krossa $ och antyda att hon genast skola lämna $ för att söka få den stackars flicka att glömma han $	20	0	antyda	röst framhöll hon ock , hur smärtsamt det vore för ett modershjärta att se enda dotterns lefnadslycka krossad , och antydde att hon genast skulle lämna Baden-Baden för att söka få den stackars flickan att glömma honom . 	bib15760600_18950119_146401_8_0004_alto.xml-121-20
med den politisk situation $ liksom den antyda $ att anstag äta skola uppta i budget $ dä öfwerensstämmelfe ä nyo inträdt mellan regering och nationalförsamling majoritet $	7	0	antyda	med den politiska situationen , liksom det antyddes , att anstaget äter skulle upptagas i budgeten , dä öfwerensstämmelfe ä nyo inträdt mellan regeringens och nationalförsamlingens majoritet . 	bib11653811_18950220_145317_29_0002_alto.xml-33-7
