sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
återvända vintertid från en böbmisk by till en gränsstad i sachsen $	5	0	by	återvände vintertiden från en böbmisk by till en gränsstad i Sachsen . 	bib15650837_18951218_146391_295_0002_alto.xml-94-5
jämte 1 rum oell kök samt butik i sundborns by $	9	0	by	jämte 1 rum oell kök samt butik i Sundborns by . 	bib11653790_18950920_145648_39_0004_alto.xml-78-9
fordom skyldighet att så pryda kyrka från nummer till nummer i by ocb ända till midsommar funnos frisk blomsterkvast i kyrka $ åtminstone på altare ocb predikstol $	11	0	by	fordom skyldigheten att så pryda kyrkan från nummer till nummer i byn ocb ända till midsommar funnos friska blomsterkvastar i kyrkorna , åtminstone på altaret ocb predikstolen . 	bib11653838_19030605_147024_23_0003_alto.xml-190-11
begå sig af till ivga ooh träffa aftal med hon $ komma by qvinna genast att trumpeta ut sak åt verld all fyra hörn $ ooh dermed vara allt väl bestäldt $	12	0	by	bege sig af till Ivga ooh träffa aftal med henne , komma byns qvinnor genast att trumpeta ut saken åt verldens alla fyra hörn — ooh dermed är allt väl bestäldt . 	bib19277277_18950717_147683_191_0002_alto.xml-6-12
dä sä betyda utflyttning flett under en sedan stor gängna 80 ära $ fä anse mi $ att en obetydlig utflqttningslägenheter $ som nu äro obegagnad $ inom allra nära tid $ fastän ej laga flifte öfwer byalag $ genom hemman sönderdelande blifwa $ $ och dä samtlig längnäs hemman och jordegare $ med undantag af sökande $ ej yrka pä laga flifte ä by $ utan önfla fä sörbliswa wid den storflistesdelning som byalag ägätt under ära 1805 $ 1807 $ samt 1816 $ 1818 $ isynnerhet som flera as byamännen under en länga följd af vara nyttja och bruka hemman och derigenom torde ega praktifl kännedom om läge beflafsenhet $ och dä 8 89 i fliftesstadgan jemte andra dithörande lagrum $ synas lemna stöd för wär äsigt $ att laga fliste wid nuwarande förhällande ej ka $ medföra en sormäner som motwäqer den stor kostnad $ som deraf förorsaka stifteslaget $ sä fä wi $ pä grund som nu blifwit anföra $ anhälla $ att den undersökning och syn som i ofwannämnde 8 89 i flistesstadgan päbjudes $ mäta försiggä $ och som wi äro öfwertygade komma att lemna delresultat $ att den söka fliftet inställa eller affläs $	64	0	by	Dä sä betydande utflyttningar flett under de sedan storfliftet gängna 80 ären , fä anse mi , att de obetydliga utflqttningslägenheter , som nu äro obegagnade , inom allra närmaste tiden , fastän ej laga flifte öfwergär byalaget , genom hemmanens sönderdelande blifwa upptagna ; och dä samtlige Längnäs hemmans- och jordegare , med undantag af sökanden , ej yrka pä laga flifte ä byn , utan önfla fä sörbliswa wid den storflistesdelning som byalaget ägätt under ären 1805 — 1807 , samt 1816 — 1818 , isynnerhet som flera as byamännen under en läng följd af är nyttjat och brukat hemmanen och derigenom torde ega praktifl kännedom om lägenas beflafsenhet , och dä 8 89 i fliftesstadgan jemte andra dithörande lagrum , synes lemna stöd för wär äsigt , att laga fliste wid nuwarande förhällanden ej ka » medföra de sormäner som motwäqer den stora kostnaden , som deraf förorsakas stifteslaget ; sä fä wi , pä grunder som nu blifwit anförda , anhälla , att den undersökning och syn som i ofwannämnde 8 89 i flistesstadgan päbjudes , mätte försiggä , och som wi äro öfwertygade kommer att lemna delresultat , att det sökta fliftet inställes eller affläs . 	bib19277180_18951216_147374_102_0004_alto.xml-41-64
vegetation i ljusdal och kringliggande by vara öfverraska lång framskrida $	5	0	by	Vegetationen i Ljusdal och kringliggande byar är öfverraskande långt framskriden . 	bib15761570_18950706_146176_111_0002_alto.xml-168-5
bädda ned i hemland så ofta bloddränkt jord $ redan ha by ooh hern	11	0	by	bäddats ned i hemlandets så ofta bloddränkta jord , redan hade byar ooh hern 	bib11653790_19000828_145648_68_0003_alto.xml-153-11
i milsbo by $ torsångs socaen $ om 26 tunni $ i skatt $ cirka 50 tunni $ i vidd $ jämte skog till afsalu öfver gård behof och en fjerdedel i en tullmjölfqvarn vid gård $	2	0	by	i Milsbo by , Torsångs socaen , om 26 tunni , i skatt , cirka 50 tunni , i vidd , jämte skog till afsalu öfver gårdens behof och en fjerdedel i en tullmjölfqvarn vid gården . 	bib11653790_18960619_145648_25_0004_alto.xml-12-2
till följa resultat $ $ $ lia blifvit nedslagtade $ omkring $ by $ 568 kloster och kyrka förstöra $ 559 by med all invånare samt hundratal familj i stad ha blifvit tvinga att gå öfver till islam $	12	0	by	till följande resultat : 65,000 menni§kor lia blifvit nedslagtade , omkring 2,500 byar , 568 kloster och kyrkor förstörda , 559 byar med alla invånarna samt hundratals familjer i städerna ha blifvit tvungna att gå öfver till Islam . 	bib11653830_18960827_146968_69_0003_alto.xml-95-12
den 24 oktober hemsöka hjulbäcks by i siljansnäs $ ha inom hel vi provins pröfva liten samhälle vid siljan $	5	0	by	den 24 oktober hemsökte Hjulbäcks by i Siljansnäs , har inom hela vår provins pröfvade lilla samhället vid Siljan . 	bib11653790_18991110_145648_88_0003_alto.xml-24-5
